Student ID,Name,Batch/Class,Department/Major,Date of Admission,Date of Graduation,Semester-wise GPA,Cumulative GPA,Core Engineering Course Grades,Elective Course Grades,Project/Research Work Evaluation,Hackathon Participation,Paper Presentations,Research Publications,Leadership Roles,Volunteer Work,Certifications,Workshops Attended,Internships,Skills Demonstrated,Attendance Record,Disciplinary Actions,Special Needs/Disabilities,Scholarships/Awards,Year,Gender
47709969,Brandon Ruiz,Batch 4,Mechanical Engineering,2022-12-22,2028-06-19,"[10.797499318472049, 9.985120952496779, 9.990459668459556, 10.568161127974353]",10.34,"['D', 'D', 'F', 'F', 'D']","['B', 'D', 'D']",7.19,None,1,1,Vice President,True,10,0,4,High,87,Probation,Yes,5,4,Male
49718762,Anthony Martinez,Batch 2,Electrical Engineering,2024-02-18,2025-07-27,"[10.70300238707157, 10.089666351100142]",10.4,"['B', 'F', 'A', 'D', 'D']","['A', 'D', 'D']",9.29,International,4,2,Vice President,False,7,1,2,Low,92,,Yes,2,2,Male
80160963,Michelle Prince,Batch 1,Mechanical Engineering,2024-05-02,2025-12-05,[10.596325423168986],10.6,"['B', 'D', 'D', 'F', 'C']","['B', 'C', 'F']",7.26,None,3,1,Treasurer,True,1,10,2,High,86,Probation,Yes,4,1,Male
10753608,Austin Maddox,Batch 3,Computer Science Engineering,2022-08-13,2028-07-19,"[9.979519911813187, 11.222372784390249, 10.661313897835297]",10.62,"['B', 'D', 'B', 'D', 'D']","['F', 'C', 'C']",7.91,National,4,3,Treasurer,False,5,8,2,Medium,83,Warning,Yes,3,3,Male
95986613,Matthew English,Batch 1,Civil Engineering,2022-03-18,2026-04-08,[9.67019920755328],9.67,"['A', 'D', 'F', 'F', 'B']","['B', 'B', 'A']",9.67,National,3,2,Vice President,False,10,2,1,High,99,Probation,,2,1,Male
77646791,Jamie Robertson,Batch 3,Computer Science Engineering,2023-08-25,2026-11-05,"[9.934571283271342, 9.970784347628578, 9.588241448615634]",9.83,"['B', 'A', 'F', 'C', 'A']","['C', 'D', 'F']",7.79,None,3,0,Treasurer,True,3,10,4,Low,97,Probation,,3,3,Male
24777535,Charles Stanley,Batch 4,Civil Engineering,2021-09-08,2028-09-25,"[9.531342992914885, 10.687860216195304, 10.221356989717782, 10.2624187130695]",10.18,"['B', 'F', 'D', 'C', 'F']","['F', 'B', 'B']",9.46,None,0,3,Treasurer,True,5,4,0,Medium,92,Warning,,5,4,Female
36564517,Mark Callahan,Batch 4,Computer Science Engineering,2022-03-31,2026-10-21,"[10.864051993917982, 9.904481112153132, 9.341375559808972, 10.49169836378045]",10.15,"['F', 'C', 'F', 'D', 'D']","['B', 'F', 'A']",7.57,None,2,3,Treasurer,False,10,7,1,Medium,85,,,4,4,Female
31519147,Elizabeth Lambert,Batch 1,Mechanical Engineering,2020-07-19,2025-06-13,[9.487522858475375],9.49,"['B', 'B', 'D', 'D', 'C']","['D', 'A', 'B']",9.36,Local,2,2,Vice President,False,9,4,0,High,78,Warning,,5,1,Female
64396469,Margaret Moore,Batch 2,Computer Science Engineering,2020-07-18,2026-05-09,"[9.821781240325212, 9.419741073477333]",9.62,"['B', 'D', 'C', 'F', 'D']","['D', 'D', 'D']",7.62,National,3,0,None,True,8,2,3,High,80,Warning,,0,2,Female
79549410,Rachel Torres,Batch 4,Computer Science Engineering,2023-09-16,2026-04-12,"[10.324697494990554, 9.112030531724509, 9.020402258856263, 10.022417844086839]",9.62,"['C', 'A', 'A', 'C', 'A']","['F', 'A', 'F']",9.23,National,3,1,None,False,8,4,2,Low,82,Warning,Yes,1,4,Female
17473037,Linda Strickland,Batch 2,Mechanical Engineering,2022-06-21,2028-01-28,"[9.492182532315951, 10.353582335180961]",9.92,"['D', 'F', 'B', 'B', 'B']","['B', 'B', 'C']",8.71,National,2,3,None,False,3,3,2,Low,97,Probation,Yes,1,2,Female
73613361,Adam Lopez,Batch 2,Computer Science Engineering,2024-06-24,2026-10-25,"[10.15067512403232, 11.216024099514522]",10.68,"['A', 'F', 'A', 'D', 'D']","['C', 'D', 'B']",9.66,None,3,2,Vice President,False,1,0,4,High,78,,Yes,4,2,Female
69793821,Christopher Bishop,Batch 2,Computer Science Engineering,2023-10-05,2028-01-28,"[9.695798877758733, 9.996747554754844]",9.85,"['C', 'F', 'F', 'B', 'A']","['D', 'C', 'D']",7.15,National,0,1,Treasurer,True,7,1,3,Low,84,,,3,2,Male
3656739,Christine Wheeler,Batch 2,Electronics Communication Engineering,2024-05-26,2028-03-19,"[9.900478305696828, 10.046551967147398]",9.97,"['F', 'A', 'B', 'A', 'C']","['D', 'B', 'A']",8.33,None,3,0,None,True,1,2,2,Low,97,Warning,,0,2,Female
19875562,Jose Duncan,Batch 4,Electrical Engineering,2024-08-28,2027-05-01,"[9.98511330955902, 10.061502414362751, 10.214533000886712, 10.216337363830746]",10.12,"['B', 'F', 'D', 'D', 'D']","['B', 'A', 'B']",9.56,National,3,1,President,True,5,2,3,Low,92,Warning,,3,4,Female
45635649,Lawrence Mcdowell,Batch 4,Civil Engineering,2022-10-05,2025-04-05,"[9.548509623011462, 9.852674168601663, 9.529224149743143, 11.079678831974709]",10.0,"['D', 'D', 'B', 'B', 'C']","['D', 'D', 'F']",8.06,International,5,3,Treasurer,True,3,5,1,High,75,Probation,Yes,1,4,Male
98829221,Michelle Powell,Batch 3,Mechanical Engineering,2021-02-18,2026-09-30,"[10.157227914087073, 10.563709901206236, 10.671763560902912]",10.46,"['B', 'B', 'A', 'D', 'A']","['B', 'F', 'B']",7.46,National,1,3,President,False,7,9,2,Medium,87,,,1,3,Female
50180815,Damon Martinez,Batch 3,Mechanical Engineering,2024-09-25,2026-07-19,"[9.61424888563879, 9.726197749662976, 9.783873553577964]",9.71,"['C', 'F', 'B', 'A', 'B']","['A', 'A', 'D']",8.42,Local,1,0,President,False,4,9,3,High,82,Probation,Yes,2,3,Male
88202856,Candace Ramsey,Batch 2,Mechanical Engineering,2021-03-28,2025-04-13,"[10.440978331615522, 9.810722274440685]",10.13,"['F', 'F', 'B', 'C', 'F']","['D', 'F', 'F']",8.61,National,4,1,Treasurer,False,5,8,1,High,92,Warning,Yes,3,2,Male
44692756,Tiffany Butler,Batch 2,Electronics Communication Engineering,2023-01-17,2025-03-21,"[10.726395476986008, 9.771053646876226]",10.25,"['B', 'D', 'A', 'F', 'F']","['C', 'F', 'B']",7.26,None,2,2,President,False,8,2,1,Medium,83,,Yes,5,2,Female
60250458,Amy Beltran,Batch 3,Computer Science Engineering,2020-01-14,2026-05-28,"[11.294632463441689, 9.34856669498137, 10.467791143164762]",10.37,"['D', 'A', 'C', 'B', 'A']","['C', 'A', 'A']",8.18,None,4,2,Vice President,False,9,8,0,Low,75,Probation,,1,3,Female
74026412,Tiffany Ross,Batch 1,Mechanical Engineering,2020-10-02,2026-05-03,[10.738903278332469],10.74,"['F', 'F', 'F', 'D', 'C']","['D', 'B', 'D']",7.85,National,1,0,None,False,3,0,1,High,84,,Yes,1,1,Male
52799491,Linda Sanders,Batch 1,Mechanical Engineering,2019-10-26,2026-03-28,[10.813888700513289],10.81,"['B', 'A', 'A', 'F', 'C']","['D', 'C', 'A']",9.28,National,1,1,None,True,0,10,2,High,77,,Yes,4,1,Female
20664921,Brett Carpenter,Batch 4,Civil Engineering,2019-11-12,2028-02-04,"[9.399828619598772, 9.206157045423488, 9.785114009739496, 9.96270667108675]",9.59,"['F', 'A', 'B', 'A', 'B']","['A', 'D', 'C']",9.85,None,3,0,Treasurer,True,2,5,2,High,77,Probation,Yes,4,4,Male
4464615,Roberta Howell,Batch 1,Mechanical Engineering,2020-12-02,2025-06-22,[8.86029839289297],8.86,"['F', 'F', 'D', 'A', 'D']","['B', 'B', 'A']",7.92,International,4,1,None,False,3,7,1,Medium,81,Probation,Yes,4,1,Female
60549723,Tyler Hernandez,Batch 4,Computer Science Engineering,2023-12-05,2025-12-13,"[9.279586673689959, 9.701021422548886, 10.308040915201872, 9.986879898215058]",9.82,"['D', 'D', 'D', 'B', 'A']","['A', 'B', 'A']",8.68,International,5,1,President,True,3,9,3,High,86,Probation,Yes,1,4,Male
55391815,Jonathan Hayes,Batch 3,Civil Engineering,2020-03-22,2026-06-26,"[10.763687920244092, 9.48148873558775, 9.119427368937092]",9.79,"['A', 'D', 'D', 'D', 'D']","['A', 'A', 'D']",7.25,International,4,3,Vice President,False,1,7,1,Low,76,Warning,,3,3,Female
70960187,Candice Maynard,Batch 3,Electronics Communication Engineering,2022-11-30,2028-04-16,"[10.394462990558631, 10.001123871331815, 9.518056876688355]",9.97,"['C', 'B', 'D', 'F', 'F']","['B', 'C', 'B']",8.35,None,5,0,Treasurer,True,5,5,1,High,83,,,3,3,Male
84414528,Nicholas Martinez,Batch 2,Electronics Communication Engineering,2022-06-24,2025-11-06,"[9.816083601619022, 10.3726298707766]",10.09,"['F', 'F', 'C', 'F', 'F']","['A', 'D', 'A']",8.82,Local,0,2,President,True,10,9,0,Medium,91,Warning,,0,2,Male
94558394,Daniel Blankenship,Batch 1,Civil Engineering,2024-07-16,2027-10-22,[10.172534788044539],10.17,"['D', 'D', 'C', 'F', 'B']","['A', 'D', 'B']",9.38,Local,0,2,Treasurer,False,9,6,2,Low,97,,,3,1,Male
92727233,Carla Johnson,Batch 2,Computer Science Engineering,2022-08-29,2025-11-10,"[10.112645033849255, 9.742476847310204]",9.93,"['C', 'B', 'D', 'B', 'D']","['F', 'D', 'B']",9.74,None,1,1,Vice President,False,0,0,2,Medium,90,Warning,Yes,3,2,Male
85506866,Lisa Miller,Batch 4,Electronics Communication Engineering,2021-02-10,2027-10-04,"[9.923720430131976, 9.908672126006968, 9.792640372842108, 10.074406867802596]",9.92,"['A', 'D', 'D', 'D', 'F']","['A', 'C', 'D']",9.14,International,4,1,Vice President,False,10,10,0,High,95,Probation,,1,4,Female
22103836,Maria Pugh,Batch 1,Electronics Communication Engineering,2022-05-21,2026-08-30,[9.4539754601295],9.45,"['B', 'A', 'B', 'A', 'D']","['A', 'C', 'F']",9.62,Local,1,0,Treasurer,False,7,4,4,Low,88,Warning,,2,1,Male
89097834,Shannon Bennett,Batch 2,Electrical Engineering,2023-08-18,2026-01-18,"[8.998968382724552, 10.40590342240681]",9.7,"['A', 'B', 'F', 'A', 'F']","['C', 'C', 'F']",7.55,None,3,0,Treasurer,True,5,0,3,High,85,,,4,2,Male
64189632,Robert Mccormick,Batch 3,Computer Science Engineering,2020-08-20,2028-03-03,"[10.529072058046753, 10.19051599781683, 9.668793653363577]",10.13,"['C', 'B', 'B', 'C', 'F']","['F', 'A', 'C']",7.19,None,0,1,None,True,4,6,4,Low,88,Probation,,1,3,Male
56960476,Rhonda Bell,Batch 3,Mechanical Engineering,2024-08-14,2026-10-12,"[9.760018314536932, 9.468485939162736, 9.907810953435519]",9.71,"['C', 'B', 'D', 'A', 'B']","['A', 'F', 'A']",9.25,International,1,0,Treasurer,True,1,1,2,High,98,Probation,,5,3,Female
90212479,Carrie Beck,Batch 2,Electrical Engineering,2024-02-29,2027-11-26,"[10.299395124831548, 10.683150554176486]",10.49,"['A', 'F', 'C', 'C', 'B']","['C', 'F', 'C']",7.71,International,4,2,Vice President,False,2,4,4,Medium,96,Warning,,3,2,Male
13697682,Micheal Graham,Batch 1,Civil Engineering,2024-05-16,2028-06-11,[10.615845546242525],10.62,"['A', 'B', 'F', 'F', 'C']","['B', 'A', 'D']",8.63,International,5,1,Vice President,True,1,2,0,Medium,88,Probation,Yes,4,1,Male
51951218,Susan Jones,Batch 3,Electrical Engineering,2023-04-08,2025-11-23,"[9.890736417780461, 9.927441635730752, 10.323039185124012]",10.05,"['B', 'A', 'F', 'C', 'A']","['D', 'F', 'D']",8.54,International,3,2,Vice President,True,10,8,3,High,90,Probation,,4,3,Male
32333831,Sara Moreno,Batch 1,Electronics Communication Engineering,2020-02-14,2027-07-14,[10.038627827161477],10.04,"['C', 'B', 'B', 'C', 'B']","['C', 'D', 'C']",9.9,Local,3,1,President,False,4,6,2,High,89,Probation,,5,1,Male
59194451,Mark Allen,Batch 3,Computer Science Engineering,2021-05-31,2027-08-16,"[9.559026499962503, 9.928586348807144, 10.114394008037001]",9.87,"['D', 'A', 'A', 'A', 'A']","['A', 'B', 'F']",7.87,None,3,1,Vice President,False,9,9,1,High,95,Warning,Yes,2,3,Male
92607073,Paula Delgado,Batch 2,Civil Engineering,2021-12-01,2028-06-23,"[10.229082055061141, 10.395127613093656]",10.31,"['A', 'F', 'F', 'B', 'C']","['A', 'A', 'A']",7.08,Local,3,1,Vice President,True,4,9,0,Medium,89,,Yes,0,2,Male
15981693,Joseph Miller,Batch 1,Electrical Engineering,2022-02-22,2027-09-08,[9.908850291609339],9.91,"['F', 'A', 'A', 'C', 'F']","['D', 'B', 'D']",9.96,National,0,1,President,False,3,1,1,Medium,84,,,3,1,Male
56953833,Angelica Mclean,Batch 4,Electronics Communication Engineering,2024-10-03,2025-10-01,"[10.018940280162303, 9.874242790509626, 9.8499764279232, 9.906193218746003]",9.91,"['D', 'A', 'D', 'F', 'B']","['B', 'A', 'B']",8.23,Local,0,2,President,False,9,3,1,Medium,78,Warning,,2,4,Female
98708562,Jose Peters,Batch 4,Computer Science Engineering,2024-05-26,2028-08-17,"[10.196504837309579, 11.103650027092105, 10.335542338509175, 8.919699037867403]",10.14,"['B', 'A', 'C', 'A', 'A']","['A', 'A', 'B']",7.97,National,4,0,Treasurer,False,10,6,4,High,99,Warning,Yes,4,4,Female
72654671,Michael Reese,Batch 4,Mechanical Engineering,2020-08-26,2027-05-23,"[9.778146517563611, 10.092224218561915, 9.286426154910782, 9.950009854395036]",9.78,"['D', 'A', 'F', 'B', 'B']","['B', 'C', 'C']",9.35,International,4,3,Vice President,True,2,2,1,Low,75,,Yes,3,4,Male
26566601,Aaron Johnson,Batch 2,Electronics Communication Engineering,2023-09-22,2027-03-20,"[10.85653053453078, 10.67307290840211]",10.76,"['B', 'F', 'A', 'A', 'B']","['D', 'B', 'D']",9.01,National,1,2,President,False,1,3,2,Low,84,,Yes,5,2,Female
6066097,Christopher Stout,Batch 3,Mechanical Engineering,2021-09-28,2025-03-19,"[10.648604944099352, 10.487162236649956, 9.957214879206882]",10.36,"['C', 'A', 'F', 'B', 'D']","['F', 'C', 'D']",7.34,Local,5,0,Vice President,False,6,0,1,High,79,,,2,3,Female
8426546,Matthew Roberts,Batch 4,Electrical Engineering,2021-02-12,2028-07-28,"[10.286511498656463, 10.332058386626958, 10.421515747787058, 9.818316273741097]",10.21,"['F', 'B', 'B', 'B', 'F']","['A', 'B', 'B']",7.34,None,2,3,Vice President,True,5,1,0,Low,77,Probation,,3,4,Male
41953589,Deanna Long,Batch 4,Civil Engineering,2022-04-14,2027-02-06,"[9.618929724262356, 10.225309440576225, 10.36496315420118, 11.35277844065773]",10.39,"['B', 'D', 'C', 'F', 'A']","['D', 'B', 'C']",7.23,International,2,2,President,False,1,7,2,Medium,97,Probation,,2,4,Male
90494921,Austin Lewis,Batch 4,Computer Science Engineering,2023-09-23,2025-01-17,"[9.892253342607008, 11.018645584578286, 9.777351858141417, 9.54909285425271]",10.06,"['C', 'A', 'F', 'D', 'B']","['B', 'C', 'F']",9.97,National,3,2,Vice President,True,2,4,3,Medium,77,Probation,,1,4,Female
84485441,Patrick Schaefer,Batch 3,Computer Science Engineering,2021-07-10,2025-11-13,"[9.676345143998232, 9.625828306487929, 10.09774436300602]",9.8,"['F', 'F', 'A', 'C', 'D']","['B', 'D', 'C']",7.73,Local,0,2,None,False,0,5,3,High,96,,Yes,3,3,Male
79218858,Joseph King,Batch 1,Electronics Communication Engineering,2023-02-08,2026-06-23,[10.234911139093768],10.23,"['D', 'C', 'D', 'F', 'C']","['C', 'A', 'C']",7.78,Local,1,2,Vice President,True,2,8,4,Medium,76,,Yes,3,1,Male
6430767,Jessica Hernandez,Batch 4,Computer Science Engineering,2024-01-31,2025-01-04,"[9.070445495661229, 9.64630933472562, 10.444392947536034, 10.938301028907343]",10.02,"['A', 'F', 'C', 'F', 'F']","['C', 'B', 'F']",7.02,Local,2,0,None,True,7,2,3,Medium,82,,,2,4,Female
97458071,Mrs. Kelsey Roman,Batch 4,Electrical Engineering,2020-10-29,2027-10-15,"[10.46093385941353, 9.256927760625212, 10.31718338225786, 10.19682459525149]",10.06,"['F', 'D', 'D', 'A', 'B']","['B', 'F', 'F']",7.55,None,2,3,None,True,7,6,4,Low,75,Warning,Yes,5,4,Female
75735013,Matthew Cohen,Batch 3,Electronics Communication Engineering,2021-07-01,2026-06-10,"[9.472654318098913, 9.659268178759953, 8.941403162260807]",9.36,"['A', 'D', 'B', 'F', 'F']","['D', 'F', 'C']",7.5,Local,5,3,Treasurer,True,8,3,3,Medium,89,Warning,,3,3,Female
88181709,Joshua Sharp,Batch 2,Civil Engineering,2020-01-31,2027-03-18,"[9.928328592813086, 9.688465093440634]",9.81,"['C', 'C', 'A', 'D', 'B']","['D', 'C', 'F']",8.71,National,5,1,Vice President,True,6,4,2,Medium,96,Probation,Yes,2,2,Male
12673864,Kenneth Leonard DVM,Batch 1,Electrical Engineering,2020-10-06,2025-04-03,[9.557124510294802],9.56,"['D', 'D', 'B', 'C', 'B']","['D', 'D', 'C']",9.29,Local,0,3,None,False,2,1,4,High,95,Warning,,4,1,Female
56878801,Monica Peters,Batch 4,Electronics Communication Engineering,2020-06-02,2026-01-07,"[10.312177116430375, 9.9908137959574, 10.636066208983152, 9.53298047223769]",10.12,"['F', 'F', 'C', 'C', 'B']","['B', 'D', 'D']",9.1,National,3,2,Treasurer,False,6,10,1,Low,89,Warning,Yes,3,4,Male
80393964,Shelly Smith,Batch 1,Electrical Engineering,2024-05-17,2027-09-17,[9.71543902948598],9.72,"['A', 'A', 'D', 'B', 'F']","['A', 'F', 'D']",9.32,National,5,0,None,True,6,0,3,Medium,86,Probation,,4,1,Male
48509463,Katelyn Mcbride,Batch 3,Mechanical Engineering,2023-02-18,2025-10-11,"[9.352541360362503, 11.140651489124584, 9.826635495122163]",10.11,"['F', 'C', 'D', 'C', 'C']","['C', 'D', 'A']",8.15,Local,2,2,None,True,6,1,3,High,80,,Yes,2,3,Male
65288411,Kristopher Berry,Batch 1,Electronics Communication Engineering,2023-12-18,2026-08-24,[9.707046129300597],9.71,"['B', 'D', 'A', 'A', 'D']","['A', 'A', 'B']",7.17,International,2,0,Treasurer,False,4,0,3,Low,92,Probation,,5,1,Female
65390720,Christopher Greene,Batch 2,Electrical Engineering,2023-08-22,2026-07-05,"[9.480552966235363, 9.626396826428907]",9.55,"['A', 'F', 'F', 'C', 'C']","['F', 'C', 'F']",9.37,National,5,3,Treasurer,False,4,5,3,Medium,76,Probation,Yes,3,2,Female
54782733,David Pearson,Batch 4,Computer Science Engineering,2024-04-24,2025-04-11,"[10.008782713624973, 9.664041442781032, 10.299283831975687, 10.887722232434951]",10.21,"['B', 'A', 'C', 'B', 'F']","['B', 'A', 'B']",8.72,National,3,1,President,False,8,7,1,High,85,,,3,4,Female
50015897,John Robinson,Batch 4,Mechanical Engineering,2020-02-18,2026-01-30,"[10.240511714532254, 10.462618146889218, 9.974776296522275, 10.778676250032154]",10.36,"['C', 'F', 'A', 'F', 'C']","['B', 'F', 'D']",9.1,National,5,3,President,False,4,6,0,Medium,89,Warning,,5,4,Male
38107681,Lawrence Phillips,Batch 1,Computer Science Engineering,2020-10-22,2028-06-17,[9.478613676216927],9.48,"['C', 'A', 'F', 'C', 'C']","['D', 'A', 'A']",9.89,International,0,1,Treasurer,False,4,4,1,Medium,80,Probation,,3,1,Female
19719758,Robert Graham,Batch 1,Computer Science Engineering,2024-05-22,2027-05-16,[9.358005925474268],9.36,"['F', 'F', 'F', 'A', 'D']","['C', 'C', 'D']",8.05,None,4,0,President,False,8,4,1,Low,100,,Yes,1,1,Male
44606436,Deanna Brewer,Batch 4,Electronics Communication Engineering,2022-11-19,2026-02-03,"[9.897049184668658, 10.465716395325243, 8.489155525099092, 9.52445169447791]",9.59,"['A', 'A', 'C', 'A', 'B']","['D', 'A', 'C']",8.84,National,1,1,Treasurer,True,5,7,3,High,76,Warning,Yes,0,4,Male
52033812,Denise Calderon,Batch 3,Electronics Communication Engineering,2021-05-16,2025-02-14,"[9.825582218783055, 10.281797466633797, 9.553783757382229]",9.89,"['D', 'C', 'D', 'A', 'D']","['A', 'D', 'B']",8.66,Local,0,1,President,False,7,10,4,Low,94,,Yes,1,3,Male
73712846,Robert Kent,Batch 3,Mechanical Engineering,2021-02-15,2025-01-10,"[10.500356579650482, 8.87071689172957, 10.536375629930433]",9.97,"['A', 'C', 'D', 'F', 'C']","['B', 'C', 'B']",8.65,National,2,2,Vice President,True,6,2,1,Low,78,Warning,Yes,0,3,Female
57111040,Brendan Osborne,Batch 2,Electronics Communication Engineering,2023-06-28,2028-04-01,"[10.36032414556547, 9.74919739022974]",10.05,"['C', 'D', 'D', 'D', 'A']","['D', 'B', 'B']",8.83,None,4,2,Treasurer,False,5,9,0,Low,94,Warning,,1,2,Male
4805998,Michelle Petty MD,Batch 2,Electronics Communication Engineering,2020-02-20,2028-02-27,"[11.051359743531279, 9.834459248123386]",10.44,"['A', 'A', 'F', 'A', 'F']","['C', 'B', 'D']",7.46,International,0,2,President,True,5,5,0,High,86,,Yes,3,2,Female
15996757,Justin Ward,Batch 4,Electronics Communication Engineering,2024-01-14,2026-04-13,"[10.427332488810684, 9.684889982979689, 9.57097202360332, 9.944785609378105]",9.91,"['B', 'F', 'A', 'D', 'F']","['F', 'B', 'C']",8.46,International,0,2,None,True,0,6,1,Medium,99,Probation,,4,4,Male
48890097,Lance Sanchez,Batch 2,Electronics Communication Engineering,2020-03-15,2028-07-14,"[9.405929382581606, 10.5783662610385]",9.99,"['C', 'D', 'B', 'F', 'D']","['F', 'F', 'C']",9.32,National,5,2,Vice President,False,7,4,4,Medium,92,Warning,,1,2,Male
54900738,Victor Murray DDS,Batch 3,Computer Science Engineering,2021-02-17,2027-03-29,"[9.833915778736204, 9.351126717209507, 10.731830200284726]",9.97,"['A', 'C', 'A', 'F', 'F']","['F', 'A', 'C']",8.64,Local,4,2,President,True,0,3,4,Medium,92,,,4,3,Female
36247683,Jason Franklin,Batch 2,Electronics Communication Engineering,2023-07-27,2028-04-01,"[9.436812952276767, 10.187480116967164]",9.81,"['B', 'B', 'A', 'C', 'F']","['B', 'D', 'B']",9.87,Local,0,1,None,False,7,1,1,Low,95,Warning,Yes,4,2,Female
68605709,Elizabeth Evans,Batch 2,Electronics Communication Engineering,2024-10-09,2028-03-20,"[10.34008936275998, 9.419160323734657]",9.88,"['B', 'A', 'B', 'F', 'C']","['A', 'B', 'A']",7.76,Local,2,2,Vice President,False,2,0,1,High,96,,Yes,1,2,Male
7091557,Danielle Jimenez,Batch 3,Computer Science Engineering,2021-05-29,2026-07-12,"[9.900211360071129, 10.335777801504026, 9.792287466108114]",10.01,"['B', 'F', 'B', 'F', 'A']","['C', 'A', 'B']",7.59,International,5,1,Vice President,True,9,2,1,Low,92,,,4,3,Male
28946512,Crystal Johnson,Batch 1,Computer Science Engineering,2020-07-01,2026-02-24,[9.983170315675462],9.98,"['D', 'A', 'A', 'D', 'D']","['F', 'D', 'C']",7.54,National,0,0,None,True,1,10,3,High,94,Probation,,2,1,Female
7542010,Stephanie Smith,Batch 1,Electrical Engineering,2023-06-21,2025-01-06,[10.75768271853524],10.76,"['F', 'A', 'B', 'A', 'B']","['C', 'F', 'B']",8.22,Local,3,1,President,False,6,2,2,Medium,87,Warning,Yes,2,1,Female
